tipo,id,nome,arquivo_local,url_gerada
AUDIO_PB,1327,Um Milagre,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Um Milagre - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Um Milagre - PB.mp3
AUDIO,1328,Digno de Louvor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno de Louvor.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno de Louvor.mp3
AUDIO_PB,1328,Digno de Louvor,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno de Louvor - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Digno de Louvor - PB.mp3
AUDIO,1329,Eis-me Aqui,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eis-me Aqui.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eis-me Aqui.mp3
AUDIO_PB,1329,Eis-me Aqui,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eis-me Aqui - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eis-me Aqui - PB.mp3
AUDIO,1330,Tua Vontade,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Vontade.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Vontade.mp3
AUDIO_PB,1330,Tua Vontade,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Vontade - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Vontade - PB.mp3
AUDIO,1361,Flua em Mim,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Flua em Mim.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Flua em Mim.mp3
AUDIO_PB,1361,Flua em Mim,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Flua em Mim - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Flua em Mim - PB.mp3
AUDIO,1362,Nossa Oração,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Oração.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Oração.mp3
AUDIO_PB,1362,Nossa Oração,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Oração - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nossa Oração - PB.mp3
AUDIO,1363,Nas Mãos do Oleiro,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nas Mãos do Oleiro.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nas Mãos do Oleiro.mp3
AUDIO_PB,1363,Nas Mãos do Oleiro,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nas Mãos do Oleiro - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Nas Mãos do Oleiro - PB.mp3
AUDIO,1364,Tua Palavra,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra.mp3
AUDIO_PB,1364,Tua Palavra,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Tua Palavra - PB.mp3
AUDIO,1365,Cópia de Jesus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Cópia de Jesus.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Cópia de Jesus.mp3
AUDIO_PB,1365,Cópia de Jesus,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Cópia de Jesus - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Cópia de Jesus - PB.mp3
AUDIO,1366,Fé e Ação,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Fé e Ação.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Fé e Ação.mp3
AUDIO_PB,1366,Fé e Ação,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Fé e Ação - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Fé e Ação - PB.mp3
AUDIO,1367,Medley do Hinário,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Medley.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Medley.mp3
AUDIO_PB,1367,Medley do Hinário,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Medley - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Medley - PB.mp3
AUDIO,1368,Santuário no Tempo,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santuário no Tempo.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santuário no Tempo.mp3
AUDIO_PB,1368,Santuário no Tempo,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santuário no Tempo - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Santuário no Tempo - PB.mp3
